Date,Browns,Hubbard,Parkers,Cold,WBrSwift
2014-10-21,10.06120833,9.094729167,9.647229167,7.887375,9.324833333
2014-10-22,10.96075,9.905729167,10.1108125,8.6931875,10.305375
2014-10-23,10.22870833,9.712395833,9.819833333,9.140270833,9.934708333
2014-10-24,10.35883333,9.6989375,10.10466667,8.536541667,10.02897917
2014-10-25,9.800125,9.534625,9.6345625,8.445145833,9.667833333
2014-10-26,9.719583333,9.517708333,9.466395833,8.355708333,9.64025
2014-10-27,9.165125,9.1535625,9.254833333,7.816791667,9.134791667
2014-10-28,8.870270833,8.6718125,8.850854167,7.900604167,8.816729167
2014-10-29,10.9388125,9.681541667,9.783208333,9.2350625,9.968833333
2014-10-30,9.622125,8.536833333,9.174645833,7.983354167,8.924291667
2014-10-31,7.993583333,7.123083333,8.048020833,6.555791667,7.668666667
2014-11-01,7.632666667,7.1288125,7.689770833,6.228354167,7.564145833
2014-11-02,6.1378125,5.875416667,6.439583333,4.708041667,5.959145833
2014-11-03,4.421354167,4.210520833,5.244291667,3.237416667,4.524604167
2014-11-04,5.633895833,5.000854167,5.682979167,5.114875,5.431666667
2014-11-05,7.672604167,6.659958333,6.795041667,6.3474375,7.121770833
2014-11-06,7.255583333,6.590583333,6.605854167,5.846125,6.575541667
2014-11-07,7.493479167,6.595083333,7.020875,5.372270833,6.871354167
2014-11-08,5.2848125,4.969166667,5.740395833,3.445770833,5.09825
2014-11-09,5.5045625,5.193041667,5.870791667,4.000333333,5.542895833
2014-11-10,4.999375,4.895875,5.456770833,3.715,5.1899375
2014-11-11,5.699416667,5.520125,5.728708333,4.4706875,5.5295625
2014-11-12,8.383020833,7.594833333,7.692833333,6.410354167,7.706416667
2014-11-13,6.109458333,5.912916667,6.313666667,4.116354167,5.8800625
2014-11-14,4.671270833,4.460541667,5.383895833,2.504541667,4.691645833
2014-11-15,2.3238125,2.540208333,3.6819375,0.8898125,2.59675
2014-11-16,1.508666667,1.573416667,3.1783125,0.410666667,1.771895833
2014-11-17,3.1071875,2.6325,3.8085625,1.075625,2.8869375
2014-11-18,3.505979167,2.838604167,3.554833333,1.620354167,3.137708333
2014-11-19,0.590270833,0.47575,1.817895833,0.049125,0.948625
2014-11-20,0.858666667,0.980541667,2.301020833,0.107645833,1.243791667
2014-11-21,0.309791667,0.777979167,1.969354167,0.0406875,0.7805625
2014-11-22,0.194729167,0.440458333,1.768645833,0.058520833,0.2361875
2014-11-23,1.826354167,2.268020833,3.3055,0.398229167,1.918041667
2014-11-24,4.531645833,3.8135,4.773104167,2.873145833,4.205416667
2014-11-25,6.721125,4.973604167,6.133875,5.6979375,5.380354167
2014-11-26,3.831270833,2.645875,3.933854167,2.382541667,3.0285
2014-11-27,1.470479167,1.1123125,2.584583333,0.488333333,1.749979167
2014-11-28,1.450104167,1.000520833,2.664791667,0.3348125,1.673104167
2014-11-29,0.354666667,0.167916667,1.785395833,0.0488125,0.391145833
2014-11-30,1.812958333,1.191041667,2.58275,0.52,1.035645833
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
